102,102,102,102,102,102,102,102,102,102,102,102
102,000,101,101,101,101,101,101,101,101,101,102
102,101,102,102,102,102,102,102,102,102,101,102
102,101,102,101,101,101,101,101,101,102,101,102
102,101,102,101,102,102,102,102,101,102,101,102
102,101,102,101,102,101,102,102,101,102,101,102
102,101,102,101,102,101,101,101,101,102,101,102
102,101,102,101,102,102,102,102,102,102,101,102
102,101,102,101,101,101,101,101,101,101,101,102
102,101,102,102,102,102,102,102,102,102,102,102
102,101,101,101,101,101,101,101,101,101,101,102
102,102,102,102,102,102,102,102,102,102,102,102
